% parallel ∥
patah2a ַ
patahhebrew ַ
patahnarrowhebrew ַ
patahquarterhebrew ַ
patahwidehebrew ַ
patialupsf ∂
pazerhebrew ֡
pbbb 𝕡
pbopomofo ㄆ
pcircle ⓟ
pdotaccent ṗ
pe פ
pecyrillic п
pedagesh פּ
pedageshhebrew פּ
peezisquare ㌻
pefinal ף
pefinaldagesh פּ
pefinaldageshhebrew ףּ
peharabic پ
peharmenian պ
pehebrew פ
pehfinalarabic ﭗ
pehinitialarabic ﭘ
pehiragana ぺ
pehmedialarabic ﭙ
pekatakana ペ
pemiddlehookcyrillic ҧ
pentagram ⛤
perafehebrew פֿ
percent %
percentarabic ٪
percentmonospace ％
percentsmall ﹪
period .
periodarmenian ։
periodcentered ·
periodhalfwidth ｡
periodinferior 
periodmonospace ．
periodsmall ﹒
periodsuperior 
perispomenigreekcmb ͂
permyriad ‱
perpcorrespond ⩞
perpendicular ⟂
pertenthousand ‱
pertentousand ‱
perthousand ‰
perthousandoldstyle ‰
perthousandzero ₀
peseta ₧
pesetas ₧
peso ₱
pfsquare ㎊
phabengali ফ
phadeva फ
phagujarati ફ
phagurmukhi ਫ
phi ϕ
phi1 φ
phieuphacirclekorean ㉺
phieuphaparenkorean ㈚
phieuphcirclekorean ㉬
phieuphkorean ㅍ
phieuphparenkorean ㈌
philatin ɸ
phinthuthai ฺ
phiscript ᶲ
phisymbolgreek ϕ
phook ƥ
phophanthai พ
phophungthai ผ
phosamphaothai ภ
pi π
pi1 ϖ
pi2 ϖ
pieupacirclekorean ㉳
pieupaparenkorean ㈓
pieupcieuckorean ㅶ
pieupcirclekorean ㉥
pieupkiyeokkorean ㅲ
pieupkorean ㅂ
pieupparenkorean ㈅
pieupsioskiyeokkorean ㅴ
pieupsioskorean ㅄ
pieupsiostikeutkorean ㅵ
pieupthieuthkorean ㅷ
pieuptikeutkorean ㅳ
pihiragana ぴ
pikatakana ピ
pilcrow ¶
pisymbolgreek ϖ
piwrarmenian փ
planckover2pi ℏ
planckover2pi1 ℏ
plus +
plusbelowcmb ̟
pluscircle ⊕
plusinferior ₊
plusminus ±
plusmod ˖
plusmonospace ＋
plussmall ﹢
plussuperior ⁺
pmonospace ｐ
pmsquare ㏘
pohiragana ぽ
pointingindexdownwhite ☟
pointingindexleftwhite ☜
pointingindexrightwhite ☞
pointingindexupwhite ☝
pokatakana ポ
poplathai ป
postalmark 〒
postalmarkface 〠
pparen ⒫
precedenotdbleqv ⪹
precedenotslnteql ⪵
precedeornoteqvlnt ⋨
precedes ≺
precedesequal ⪯
precedesnotapproxeql ⪹
precedesnotdbleql ⪳̸
precedesorapproxeql ⪷
precedesorcurly ≼
precedesordblequal ⪳
precedesorequal ≾
precedesornotsimilar ⋨
precedesorsimilar ≾
prescription ℞
prime ′
primedblreversed ‶
primemod ʹ
primequad ⁗
primereverse ‵
primereversed ‵
primetriple ‴
primetriplereversed ‷
product ∏
productdisplay ∏
productdisplay1 ⨯
productdisplay2 ∏
producttext ∏
producttext1 ⨯
producttext2 ∏
projective ⌅
prolongedkana ー
propellor ⌘
propersubset ⊂
propersuperset ⊃
proportion ∷
proportional ∝
prosgegrammeni ι
prosgegrammeni_sub ι
psi ψ
psicyrillic ѱ
psilipneumatacyrilliccmb ҆
pssquare ㎰
published ℗
puhiragana ぷ
pukatakana プ
punctdash —
pvsquare ㎴
pwsquare ㎺
q q
qadeva क़
qadmahebrew ֨
qafarabic ق
qaffinalarabic ﻖ
qafinitialarabic ﻗ
qafmedialarabic ﻘ
qamats ָ
qamats10 ָ
qamats1a ָ
qamats1c ָ
qamats27 ָ
qamats29 ָ
qamats33 ָ
qamatsde ָ
qamatshebrew ָ
qamatsnarrowhebrew ָ
qamatsqatanhebrew ָ
qamatsqatannarrowhebrew ָ
qamatsqatanquarterhebrew ָ
qamatsqatanwidehebrew ָ
qamatsquarterhebrew ָ
qamatswidehebrew ָ
qarneyparahebrew ֟
qbbb 𝕢
qbopomofo ㄑ
qcircle ⓠ
qhook ʠ
qibuts ֻ
qmonospace ｑ
qof ק
qofdagesh קּ
qofdageshhebrew קּ
qofhatafpatah קֲ
qofhatafpatahhebrew קֲ
qofhatafsegol קֱ
qofhatafsegolhebrew קֱ
qofhebrew ק
qofhiriq קִ
qofhiriqhebrew קִ
qofholam קֹ
qofholamhebrew קֹ
qofpatah קַ
qofpatahhebrew קַ
qofqamats קָ
qofqamatshebrew קָ
qofqubuts קֻ
qofqubutshebrew קֻ
qofsegol קֶ
qofsegolhebrew קֶ
qofsheva קְ
qofshevahebrew קְ
qoftsere קֵ
qoftserehebrew קֵ
qparen ⒬
quarternote ♩
qubuts ֻ
qubuts18 ֻ
qubuts25 ֻ
qubuts31 ֻ
qubutshebrew ֻ
qubutsnarrowhebrew ֻ
qubutsquarterhebrew ֻ
qubutswidehebrew ֻ
question ?
questionarabic ؟
questionarmenian ՞
questiondown ¿
questiondownsmall 
questiongreek ;
questionmonospace ？
questionsmall 
quillbracketleft ⁅
quillbracketright ⁆
quotedbl "
quotedblbase „
quotedbleleft “
quotedbleright ”
quotedblleft “
quotedblmonospace ＂
quotedblprime 〞
quotedblprimereversed 〝
quotedblrev ‟
quotedblright ”
quoteleft ‘
quoteleftreversed ‛
quotereversed ‛
quoteright ’
quoterightn ŉ
quotesinglbase ‚
quotesingle '
quotesinglemonospace ＇
quotesinglrev ‛
quotesnglleft ‘
quotesnglright ’
r r
raarmenian ռ
rabengali র
racute ŕ
radeva र
radical √
radicalBig ⎷
radicalBigg ⎷
radicalbig ⎷
radicalbig3 ⎷
radicalbig4 ⎷
radicalbig5 ⎷
radicalbig6 ⎷
radicalbig7 ⎷
radicalbigg ⎷
radicalbt ⎷
radicalex 
radicallow √
radicaltp ⎷
radicalvertex |
radoverssquare ㎮
radoverssquaredsquare ㎯
radsquare ㎭
rafe ֿ
rafehebrew ֿ
ragujarati ર
ragurmukhi ਰ
rahiragana ら
rakatakana ラ
rakatakanahalfwidth ﾗ
ralowerdiagonalbengali ৱ
ramiddlediagonalbengali ৰ
ramshorn ɤ
rangedash –
rangle ⟩
ratio ∶
rbagBig ⟆
rbagBigg ⟆
rbagBiggg ⟆
rbagBigggg ⟆
rbagBiggggg ⟆
rbagbig ⟆
rbagbigg ⟆
rbbb 𝕣
rbopomofo ㄖ
rcaron ř
rcedilla ŗ
rcircle ⓡ
rcommaaccent ŗ
rdblgrave ȑ
rdotaccent ṙ
rdotbelow ṛ
rdotbelowmacron ṝ
recipe ℞
recordright Ⓟ
referencemark ※
reflexsubset ⊆
reflexsuperset ⊇
refmark ※
registered ®
registersans 
registerserif 
reharabic ر
reharmenian ր
rehfinalarabic ﺮ
rehiragana れ
rehyehaleflamarabic رﻳﺎل
rekatakana レ
rekatakanahalfwidth ﾚ
resh ר
reshdagesh בֿ
reshdageshhebrew רּ
reshhatafpatah רֲ
reshhatafpatahhebrew רֲ
reshhatafsegol רֱ
reshhatafsegolhebrew רֱ
reshhebrew ר
reshhiriq רִ
reshhiriqhebrew רִ
reshholam רֹ
reshholamhebrew רֹ
reshpatah רַ
reshpatahhebrew רַ
reshqamats רָ
reshqamatshebrew רָ
reshqubuts רֻ
reshqubutshebrew רֻ
reshsegol רֶ
reshsegolhebrew רֶ
reshsheva רְ
reshshevahebrew רְ
reshtsere רֵ
reshtserehebrew רֵ
response ℟
return ⏎
revasymptequal ⋍
reversedtilde ∽
reviahebrew ֗
reviamugrashhebrew ֗
revlogicalnot ⌐
revsimilar ∽
rfishhook ɾ
rfishhookreversed ɿ
rhabengali ঢ়
rhadeva ढ़
rho ρ
rho1 ϱ
rho2 ϱ
rhook ɽ
rhookturned ɻ
rhookturnedsuperior ʵ
rhosymbolgreek ϱ
rhotichookmod ˞
rieulacirclekorean ㉱
rieulaparenkorean ㈑
rieulcirclekorean ㉣
rieulhieuhkorean ㅀ
rieulkiyeokkorean ㄺ
rieulkiyeoksioskorean ㅩ
rieulkorean ㄹ
rieulmieumkorean ㄻ
rieulpansioskorean ㅬ
rieulparenkorean ㈃
rieulphieuphkorean ㄿ
rieulpieupkorean ㄼ
rieulpieupsioskorean ㅫ
rieulsioskorean ㄽ
rieulthieuthkorean ㄾ
rieultikeutkorean ㅪ
rieulyeorinhieuhkorean ㅭ
rightangle ∟
rightanglene ⌝
rightanglenw ⌜
rightanglese ⌟
rightanglesw ⌞
rightrightarrows ⇉
righttackbelowcmb ̙
righttriangle ⊿
rihiragana り
rikatakana リ
rikatakanahalfwidth ﾘ
rimatra ृ
ring ˚
ringbelowcmb ̥
ringcmb ̊
ringfitted ?
ringhalfleft ʿ
ringhalfleftarmenian ՙ
ringhalfleftbelowcmb ̜
ringhalfleftcentered ˓
ringhalfright ʾ
ringhalfrightbelowcmb ̹
ringhalfrightcentered ˒
ringinequal ≖
ringnosp ˚
rinvertedbreve ȓ
rittorusquare ㍑
rlfthook ᶉ
rlinebelow ṟ
rlongleg ɼ
rlonglegturned ɺ
rmonospace ｒ
rohiragana ろ
rokatakana ロ
rokatakanahalfwidth ﾛ
roruathai ร
rparen ⒭
rrabengali ড়
rradeva ऱ
rragurmukhi ੜ
rreharabic ڑ
rrehfinalarabic ﮍ
rrvocalicbengali ৠ
rrvocalicdeva ॠ
rrvocalicgujarati ૠ
rrvocalicvowelsignbengali ৄ
rrvocalicvowelsigndeva ॄ
rrvocalicvowelsigngujarati ૄ
rsuperior 
rtblock ▐
rturned ɹ
rturnedsuperior ʴ
ruhiragana る
rukatakana ル
rukatakanahalfwidth ﾙ
rupeemarkbengali ৲
rupeesignbengali ৳
rupiah 
ruthai ฤ
rvocalicbengali ঋ
rvocalicdeva ऋ
rvocalicgujarati ઋ
rvocalicvowelsignbengali ৃ
rvocalicvowelsigndeva ृ
rvocalicvowelsigngujarati ૃ
s s
s_t ﬆ
sabengali স
sacute ś
sacutedotaccent ṥ
sadarabic ص
sadeva स
sadfinalarabic ﺺ
sadinitialarabic ﺻ
sadmedialarabic ﺼ
sagujarati સ
sagurmukhi ਸ
sahiragana さ
sakatakana サ
sakatakanahalfwidth ｻ
sallallahoualayhewasallamarabic ﷺ
samekh ס
samekhdagesh סּ
samekhdageshhebrew סּ
samekhhebrew ס
sampi ϡ
saraaathai า
saraaethai แ
saraaimaimalaithai ไ
saraaimaimuanthai ใ
saraamthai ำ
saraathai ะ
saraethai เ
saraiileftthai 
saraiithai ี
saraileftthai 
saraithai ิ
saraothai โ
saraueeleftthai 
saraueethai ื
saraueleftthai 
sarauethai ึ
sarauthai ุ
sarauuthai ู
satisfies ⊨
sb sb
sbbb 𝕤
sbopomofo ㄙ
scaron š
scarondotaccent ṧ
scedilla ş
schwa ə
schwacyril ә
schwacyrillic ә
schwadieresiscyrillic ӛ
schwahook ɚ
scircle ⓢ
scircumflex ŝ
scommaaccent ș
sdotaccent ṡ
sdotbelow ṣ
sdotbelowdotaccent ṩ
seagullbelowcmb ̼
second ″
secondtonechinese ˊ
section §
seenarabic س
seenfinalarabic ﺲ
seeninitialarabic ﺳ
seenmedialarabic ﺴ
segol ֶ
segol13 ֶ
segol1f ֶ
segol2c ֶ
segolhebrew ֶ
segolnarrowhebrew ֶ
segolquarterhebrew ֶ
segoltahebrew ֒
segolwidehebrew ֶ
seharmenian ս
sehiragana せ
sekatakana セ
sekatakanahalfwidth ｾ
semicolon ;
semicolonarabic ؛
semicolonmonospace ；
semicolonsmall ﹔
semivoicedmarkkana ゜
semivoicedmarkkanahalfwidth ﾟ
sentisquare ㌢
sentosquare ㌣
servicemark ℠
seven 7
sevenarabic ٧
sevenbengali ৭
sevencircle ⑦
sevencircleinversesansserif ➐
sevendeva ७
seveneighths ⅞
sevengujarati ૭
sevengurmukhi ੭
sevenhackarabic ٧
sevenhangzhou 〧
sevenideographicparen ㈦
seveninferior ₇
sevenmonospace ７
sevenoldstyle 
sevenparen ⑺
sevenperiod ⒎
sevenpersian ۷
sevenroman ⅶ
sevensuperior ⁷
seventeencircle ⑰
seventeenparen ⒄
seventeenperiod ⒘
seventhai ๗
sfthyphen ­
sh sh
shaarmenian շ
shabengali শ
shacyrillic ш
shaddaarabic ّ
shaddadammaarabic ﱡ
shaddadammatanarabic ﱞ
shaddafathaarabic ﱠ
shaddafathatanarabic ًّ
shaddakasraarabic ﱢ
shaddakasratanarabic ﱟ
shade ▒
shadedark ▓
shadelight ░
shademedium ▒
shadeva श
shagujarati શ
shagurmukhi ਸ਼
shalshelethebrew ֓
sharp ♯
shbopomofo ㄕ
shchacyrillic щ
sheenarabic ش
sheenfinalarabic ﺶ
sheeninitialarabic ﺷ
sheenmedialarabic ﺸ
sheicoptic ϣ
sheqel ₪
sheqelhebrew ₪
sheva ְ
sheva115 ְ
sheva15 ְ
sheva22 ְ
sheva2e ְ
shevahebrew ְ
shevanarrowhebrew ְ
shevaquarterhebrew ְ
shevawidehebrew ְ
shhacyrillic һ
shift ⇧
shiftleft ↰
shiftlock ⇪
shiftright ↱
shimacoptic ϭ
shin ש
shindagesh שּ
shindageshhebrew שּ
shindageshshindot שּׁ
shindageshshindothebrew שּׁ
shindageshsindot שּׂ
shindageshsindothebrew שּׂ
shindothebrew ׁ
shinhebrew ש
shinshindot שׁ
shinshindotdagesh שּׁ
shinshindothebrew שׁ
shinsindot שׂ
shinsindotdagesh שּׂ
shinsindothebrew שׂ
shook ʂ
shortdownarrow ↓
shortleftarrow ←
shortrightarrow →
shortuparrow ↑
si si
sigma σ
sigma1 ς
sigmafinal ς
sigmalunatesymbolgreek ϲ
sihiragana し
sikatakana シ
sikatakanahalfwidth ｼ
siluqhebrew ֽ
siluqlefthebrew ֽ
simequal ≅
similar ∼
similarequal ≃
sindothebrew ׂ
siosacirclekorean ㉴
siosaparenkorean ㈔
sioscieuckorean ㅾ
sioscirclekorean ㉦
sioskiyeokkorean ㅺ
sioskorean ㅅ
siosnieunkorean ㅻ
siosparenkorean ㈆
siospieupkorean ㅽ
siostikeutkorean ㅼ
six 6
sixarabic ٦
sixbengali ৬
sixcircle ⑥
sixcircleinversesansserif ➏
sixdeva ६
sixgujarati ૬
sixgurmukhi ੬
sixhackarabic ٦
sixhangzhou 〦
sixideographicparen ㈥
sixinferior ₆
sixmonospace ６
sixoldstyle 
sixparen ⑹
sixperiod ⒍
sixpersian ۶
sixroman ⅵ
sixsuperior ⁶
sixteencircle ⑯
sixteencurrencydenominatorbengali ৹
sixteenparen ⒃
sixteenperiod ⒗
sixthai ๖
sk sk
sl sl
slash /
slashBig /
slashBigg /
slashbig /
slashbig3 /
slashbig4 /
slashbig5 /
slashbig6 /
slashbig7 /
slashbigg /
slashmonospace ／
slong ſ
slongdotaccent ẛ
slongi ſi
slongl ſl
slongslong ſſ
slongslongi ſſi
slongslongl ſſl
slurabove ⌢
slurbelow ⌣
smallelement ∊
smallowner ∍
smallsetminus ∖
smile ⌣
smileface ☺
smonospace ｓ
sofpasuq ׃
sofpasuqhebrew ׃
softhyphen ­
softsigncyrillic ь
sohiragana そ
sokatakana ソ
sokatakanahalfwidth ｿ
soliduslongoverlaycmb ̸
solidusshortoverlaycmb ̷
sorusithai ษ
sosalathai ศ
sosothai ซ
sosuathai ส
sp sp
space  
spacehackarabic  
spaceopenbox ␣
spade ♠
spadesuitblack ♠
spadesuitwhite ♤
sparen ⒮
sphericalangle ∢
square □
squarebelowcmb ̻
squarecc ㏄
squarecm ㎝
squarecontintegdisplay ⨖
squarecontintegtext ⨖
squarediagonalcrosshatchfill ▩
squaredot ⊡
squarehorizontalfill ▤
squareimage ⊏
squarekg ㎏
squarekm ㎞
squarekmcapital ㏎
squareln ㏑
squarelog ㏒
squaremg ㎎
squaremil ㏕
squareminus ⊟
squaremm ㎜
squaremsquared ㎡
squaremultiply ⊠
squareoriginal ⊐
squareorthogonalcrosshatchfill ▦
squareplus ⊞
squaresmallsolid ▪
squaresolid ■
squareupperlefttolowerrightfill ▧
squareupperrighttolowerleftfill ▨
squareverticalfill ▥
squarewhitewithsmallblack ▣
squiggleleft ↜
squiggleleftright ↭
squiggleright ↝
srsquare ㏛
ss ss
ssabengali ষ
ssadeva ष
ssagujarati ષ
ssangcieuckorean ㅉ
ssanghieuhkorean ㆅ
ssangieungkorean ㆀ
ssangkiyeokkorean ㄲ
ssangnieunkorean ㅥ
ssangpieupkorean ㅃ
ssangsioskorean ㅆ
ssangtikeutkorean ㄸ
ssi ssi
ssl ssl
ssuperior 
st st
star ★
sterling £
sterlingmonospace ￡
stigma ϛ
stigma_sub 𝃨
strokelongoverlaycmb ̶
strokeshortoverlaycmb ̵
subset ⊂
subsetdbl ⋐
subsetdblequal ⫅
subsetnoteql ⊊
subsetnotequal ⊊
subsetorequal ⊆
subsetornotdbleql ⫋
subsetsqequal ⊑
succeeds ≻
suchthat ∋
suhiragana す
sukatakana ス
sukatakanahalfwidth ｽ
sukunarabic ْ
summation ∑
summationdisplay ∑
summationdisplay2 ∑
summationtext ∑
summationtext2 ∑
sun ☼
superset ⊃
supersetdbl ⋑
supersetdblequal ⫆
supersetnoteql ⊋
supersetnotequal ⊋
supersetorequal ⊇
supersetornotdbleql ⫌
supersetsqequal ⊒
suppress ´
svsquare ㏜
swords ⚔
syouwaerasquare ㍼
t t
tab ␉
tabengali ত
tackdown ⊤
tackleft ⊣
tadeva त
tagujarati ત
tagurmukhi ਤ
taharabic ط
tahfinalarabic ﻂ
tahinitialarabic ﻃ
tahiragana た
tahmedialarabic ﻄ
taisyouerasquare ㍽
takatakana タ
takatakanahalfwidth ﾀ
talt t
tatweelarabic ـ
tau τ
tav ת
tavdages תּ
tavdagesh תּ
tavdageshhebrew תּ
tavhebrew ת
tbar ŧ
tbbb 𝕥
tbopomofo ㄊ
tcaron ť
tccurl ʨ
tcedilla ţ
tcheharabic چ
tchehfinalarabic ﭻ
tchehinitialarabic ﭼ
tchehmedialarabic ﭽ
tchehmeeminitialarabic ﭼﻤ
tcircle ⓣ
tcircumflexbelow ṱ
tcommaaccent ţ
tdieresis ẗ
tdotaccent ṫ
tdotbelow ṭ
tecyrillic т
tedescendercyrillic ҭ
teharabic ت
tehfinalarabic ﺖ
tehhahinitialarabic ﲢ
tehhahisolatedarabic ﰌ
tehinitialarabic ﺗ
tehiragana て
tehjeeminitialarabic ﲡ
tehjeemisolatedarabic ﰋ
tehmarbutaarabic ة
tehmarbutafinalarabic ﺔ
tehmedialarabic ﺘ
tehmeeminitialarabic ﲤ
tehmeemisolatedarabic ﰎ
tehnoonfinalarabic ﱳ
tekatakana テ
tekatakanahalfwidth ﾃ
telephone ℡
telephoneblack ☎
telishagedolahebrew ֠
telishaqetanahebrew ֩
tencircle ⑩
tenideographicparen ㈩
tenparen ⑽
tenperiod ⒑
tenroman ⅹ
tesh ʧ
tet ט
tetdagesh טּ
tetdageshhebrew טּ
tethebrew ט
tetsecyrillic ҵ
tevirhebrew ֛
tevirlefthebrew ֛
thabengali থ
thadeva थ
thagujarati થ
thagurmukhi ਥ
thalarabic ذ
thalfinalarabic ﺬ
thanthakhatlowleftthai 
thanthakhatlowrightthai 
thanthakhatthai ์
thanthakhatupperleftthai 
theharabic ث
thehfinalarabic ﺚ
thehinitialarabic ﺛ
thehmedialarabic ﺜ
thereexists ∃
therefore ∴
theta θ
theta1 ϑ
thetasymbolgreek ϑ
thieuthacirclekorean ㉹
thieuthaparenkorean ㈙
thieuthcirclekorean ㉫
thieuthkorean ㅌ
thieuthparenkorean ㈋
thirteencircle ⑬
thirteenparen ⒀
thirteenperiod ⒔
thonangmonthothai ฑ
thook ƭ
thophuthaothai ฒ
thorn þ
thothahanthai ท
thothanthai ฐ
thothongthai ธ
thothungthai ถ
thousandcyrillic ҂
thousandsseparatorarabic ٬
thousandsseparatorpersian ٬
three 3
three_os_SUP ³
threearabic ٣
threebengali ৩
threecircle ③
threecircleinversesansserif ➌
threedeva ३
threeeighths ⅜
threefifths ⅗
threegujarati ૩
threegurmukhi ੩
threehackarabic ٣
threehangzhou 〣
threeideographicparen ㈢
threeinferior ₃
threemonospace ３
threenumeratorbengali ৶
threeoldstyle 
threeparen ⑶
threeperiod ⒊
threepersian ۳
threequarters ¾
threequartersemdash 
threeroman ⅲ
threesuperior ³
threethai ๓
thzsquare ㎔
tie ⁀
tieaccentcapital ⁀
tieaccentlowercase ⁀
tihiragana ち
tikatakana チ
tikatakanahalfwidth ﾁ
tikeutacirclekorean ㉰
tikeutaparenkorean ㈐
tikeutcirclekorean ㉢
tikeutkorean ㄷ
tikeutparenkorean ㈂
tilde ˜
tilde4 ~
tilde5 ~
tilde6 ~
tildebelowcmb ̰
tildecmb ̃
tildecomb ̃
tildedoublecmb ͠
tildelow ˷
tildemorewidest ~
tildenosp ˜
tildeoperator ∼
tildeoverlaycmb ̴
tildeultime ~
tildeverticalcmb ̾
tildewide ~
tildewide10 ~
tildewide13 ~
tildewide3 ~
tildewide4 ~
tildewide5 ~
tildewide6 ~
tildewide7 ~
tildewide8 ~
tildewide9 ~
tildewider ~
tildewidest ~
timescircle ⊗
tipehahebrew ֖
tipehalefthebrew ֖
tippigurmukhi ੰ
titlocyrilliccmb ҃
tiwnarmenian տ
tlinebelow ṯ
tmonospace ｔ
toarmenian թ
togonek t̨
tohiragana と
tokatakana ト
tokatakanahalfwidth ﾄ
tonebarextrahighmod ˥
tonebarextralowmod ˩
tonebarhighmod ˦
tonebarlowmod ˨
tonebarmidmod ˧
tonefive ƽ
tonesix ƅ
tonetwo ƨ
tonos ΄
tonsquare ㌧
topatakthai ฏ
tortoiseshellbracketleft 〔
tortoiseshellbracketleftsmall ﹝
tortoiseshellbracketleftvertical ︹
tortoiseshellbracketright 〕
tortoiseshellbracketrightsmall ﹞
tortoiseshellbracketrightvertical ︺
totaothai ต
tpalatalhook ƫ
tparen ⒯
tplcontintegdisplay ∰
tplcontintegtext ∰
trademark ™
trademarksans 
trademarkserif 
tretroflexhook ʈ
triagdn ▼
triaglf ◄
triagrt ►
triagup ▲
triangle △
trianglebullet ‣
triangledown ▽
triangledownsld ▼
triangleinv ▽
triangleleft ◁
triangleleftequal ⊴
triangleleftsld ◀
triangleright ▷
trianglerightequal ⊵
trianglerightsld ▶
trianglesolid ▲
triangleup △
trthook ʈ
ts ʦ
tsadi צ
tsadidagesh צּ
tsadidageshhebrew צּ
tsadifinal ץ
tsadihebrew צ
tsecyrillic ц
tsere ֵ
tsere12 ֵ
tsere1e ֵ
tsere2b ֵ
tserehebrew ֵ
tserenarrowhebrew ֵ
tserequarterhebrew ֵ
tserewidehebrew ֵ
tshecyrillic ћ
tsuperior 
tt tt
ttabengali ট
ttadeva ट
ttagujarati ટ
ttagurmukhi ਟ
tteharabic ٹ
ttehfinalarabic ﭧ
ttehinitialarabic ﭨ
ttehmedialarabic ﭩ
tthabengali ঠ
tthadeva ठ
tthagujarati ઠ
tthagurmukhi ਠ
tturned ʇ
tuhiragana つ
tukatakana ツ
tukatakanahalfwidth ﾂ
turnstileleft ⊢
turnstileright ⊣
tusmallhiragana っ
tusmallkatakana ッ
tusmallkatakanahalfwidth ｯ
twelvecircle ⑫
twelveparen ⑿
twelveperiod ⒓
twelveroman ⅻ
twelveudash —
twentycircle ⑳
twentyhangzhou 卄
twentyparen ⒇
twentyperiod ⒛
two 2
two_os_SUP ²
twoarabic ٢
twobar ƻ
twobengali ২
twocircle ②
twocircleinversesansserif ➋
twodeva २
twodotenleader ‥
twodotleader ‥
twodotleadervertical ︰
twofifths ⅖
twogujarati ૨
twogurmukhi ੨
twohackarabic ٢
twohangzhou 〢
twoideographicparen ㈡
twoinferior ₂
twomonospace ２
twonumeratorbengali ৵
twooldstyle 
twoparen ⑵
twoperiod ⒉
twopersian ۲
tworoman ⅱ
twostroke ƻ
twosuperior ²
twothai ๒
twothirds ⅔
tz tz
u u
uacute ú
ualt u
ubar ʉ
ubbb 𝕦
ubengali উ
ubopomofo ㄨ
ubreve ŭ
ucaron ǔ
ucircle ⓤ
ucircumflex û
ucircumflexbelow ṷ
ucyrillic у
udattadeva ॑
udblacute ű
udblgrave ȕ
udeva उ
udieresis ü
udieresisacute ǘ
udieresisbelow ṳ
udieresiscaron ǚ
udieresiscyrillic ӱ
udieresisgrave ǜ
udieresismacron ǖ
udotbelow ụ
ugrave ù
ugujarati ઉ
ugurmukhi ਉ
uhiragana う
uhookabove ủ
uhorn ư
uhornacute ứ
uhorndotbelow ự
uhorngrave ừ
uhornhookabove ử
uhorntilde ữ
uhungarumlaut ű
uhungarumlautcyrillic ӳ
uinvertedbreve ȗ
ukatakana ウ
ukatakanahalfwidth ｳ
ukcyrillic ѹ
ukorean ㅜ
umacron ū
umacroncyrillic ӯ
umacrondieresis ṻ
umatra ु
umatragurmukhi ੁ
umicron υ
umonospace ｕ
underscore _
underscoredbl ‗
underscoremonospace ＿
underscorevertical ︳
underscorewavy ﹏
undertie ‿
uni2216coloneq ≔̸
union ∪
uniondbl ⋓
uniondisplay ⋃
unionmulti ⊎
unionmultidisplay ⊎
unionmultitext ⊎
unionsq ⊔
unionsqdisplay ⊔
unionsqtext ⊔
uniontext ∪
universal ∀
uogonek ų
uparen ⒰
upblock ▀
upperdothebrew ׄ
uprise ⋏
upsilon υ
upsilondieresis ϋ
upsilondieresistonos ΰ
upsilonlatin ʊ
upsilontonos ύ
upslope ⧸
uptackbelowcmb ̝
uptackmod ˔
uragurmukhi ੳ
uring ů
ushortcyrillic ў
usmallhiragana ぅ
usmallkatakana ゥ
usmallkatakanahalfwidth ｩ
ustraightcyrillic ү
ustraightstrokecyrillic ұ
utilde ũ
utildeacute ṹ
utildebelow ṵ
uubengali ঊ
uudeva ऊ
uugujarati ઊ
uugurmukhi ਊ
uumatra ू
uumatragurmukhi ੂ
uuvowelsignbengali ূ
uuvowelsigndeva ू
uuvowelsigngujarati ૂ
uvowelsignbengali ু
uvowelsigndeva ु
uvowelsigngujarati ુ
v v
vDash ⊨
vadeva व
vagujarati વ
vagurmukhi ਵ
vakatakana ヷ
varclckwcontintegdisplay ∲
varclckwcontintegtext ∲
varcntrclckwcontintegdisplay ∳
varcntrclckwcontintegtext ∳
varemptyset ∅
varepsilon ε
varphi φ
varpi ϖ
varrho ϱ
varsigma ς
varsubsetneqq ⊊︀
vartheta ϑ
vartriangleleft ⊲
vartriangleright ⊳
vav ו
vavdagesh וּ
vavdagesh65 וּ
vavdageshhebrew וּ
vavhebrew ו
vavholam וֹ
vavholamhebrew וֹ
vavvavhebrew װ
vavyodhebrew ױ
vbbb 𝕧
vcircle ⓥ
vdotbelow ṿ
vector  ⃗
vecyrillic в
veedot ⟇
veharabic ڤ
vehfinalarabic ﭫ
vehinitialarabic ﭬ
vehmedialarabic ﭭ
vekatakana ヹ
venus ♀
versicle ℣
verticalbar |
verticallineabovecmb ̍
verticallinebelowcmb ̩
verticallinelowmod ˌ
verticallinemod ˈ
verticaltab ␋
vewarmenian վ
vextenddouble ║
vextendsingle ⎮
vhook ʋ
vikatakana ヸ
viramabengali ্
viramadeva ्
viramagujarati ્
visargabengali ঃ
visargadeva ः
visargagujarati ઃ
visiblespace ␣
visualspace  
vmonospace ｖ
voarmenian ո
voicediterationhiragana ゞ
voicediterationkatakana ヾ
voicedmarkkana ゛
voicedmarkkanahalfwidth ﾞ
vokatakana ヺ
vparen ⒱
vscript ʋ
vtilde ṽ
vturned ʌ
vu ν
vuhiragana ゔ
vukatakana ヴ
w w
wacute ẃ
waekorean ㅙ
wahiragana わ
wakatakana ワ
wakatakanahalfwidth ﾜ
wakorean ㅘ
wasmallhiragana ゎ
wasmallkatakana ヮ
wattosquare ㍗
wavedash 〜
wavyunderscorevertical ︴
wawarabic و
wawfinalarabic ﻮ
wawhamzaabovearabic ؤ
wawhamzaabovefinalarabic ﺆ
wbbb 𝕨
wbsquare ㏝
wcircle ⓦ
wcircumflex ŵ
